centre,abscisse,ordonnee
0,-2.584,-5.781
0,-1.677,-2.811
0,-3.041,-4.559
0,0.282,5.673
0,-2.064,-1.29
0,-0.912,2.619
0,-2.098,-2.565
0,2.677,7.519
0,-1.953,-2.403
0,0.762,5.234
0,2.071,9.122
0,-0.588,0.482
0,0.075,3.428
0,-1.799,0.3
0,1.178,1.903
0,-1.663,-4.001
0,-0.967,2.269
0,0.135,2.097
0,-1.675,3.094
0,0.631,3.99
0,-2.149,0.169
0,-0.186,0.156
0,-2.592,1.446
0,-1.631,0.676
0,-1.107,-1.624
0,-1.588,-3.0
0,-2.691,-2.721
0,-3.279,-2.851
0,-1.359,0.704
0,1.528,2.604
0,0.925,4.909
0,1.238,4.77
0,0.388,2.044
0,-2.807,2.23
0,-0.78,3.295
0,-1.36,-1.679
0,-2.415,-3.698
0,-1.344,1.898
0,0.098,1.827
0,0.318,4.697
0,-0.449,4.483
0,-1.561,-0.27
0,0.15,2.614
0,2.565,7.494
0,-0.177,3.373
0,-0.122,1.341
0,-0.234,1.884
0,-0.92,-0.598
0,-0.033,2.29
0,-3.881,5.013
0,-1.573,10.0
0,-3.698,6.476
0,-4.327,4.805
0,-3.568,6.121
0,-3.329,5.443
0,-3.815,2.227
0,-3.484,2.17
0,-3.573,1.79
0,-3.957,1.737
0,-3.26,2.22
0,-3.881,5.013
0,-4.165,3.342
0,-3.826,2.981
1,8.688,0.99
1,9.131,0.958
1,8.767,2.123
1,8.705,-2.45
1,7.542,-5.607
1,8.949,0.633
1,8.448,-1.392
1,9.136,4.043
1,8.579,0.529
1,8.13,-4.908
1,8.415,-0.284
1,8.874,1.447
1,10.0,3.765
1,8.471,-8.671
1,7.793,-9.75
1,8.421,-5.937
1,7.336,-6.714
1,7.636,-3.28
1,9.957,-0.728
1,7.756,-0.037
1,8.155,0.642
1,8.043,-1.198
1,8.28,-2.906
1,8.481,-2.501
1,8.472,1.205
1,8.36,1.18
1,7.889,-3.332
1,8.484,-5.889
1,8.349,-7.943
1,8.579,0.529
1,9.071,-0.664
1,8.44,-4.61
1,8.579,0.529
1,9.374,3.473
1,8.813,-1.989
1,9.059,6.431
1,9.411,2.497
1,7.875,-1.574
1,8.688,1.559
1,9.005,1.553
1,8.224,-4.395
1,8.65,-0.987
2,-6.772,0.598
2,-6.983,-2.349
2,-5.316,1.828
2,-6.296,0.703
2,-8.988,-4.337
2,-7.788,-2.725
2,-6.203,1.893
2,-7.777,-5.401
2,-4.535,-0.961
2,-4.88,2.1
2,-5.824,-1.139
2,-5.16,-0.116
2,-5.265,0.232
2,-9.246,-8.615
2,-10.0,-2.54
2,-6.506,-2.351
2,-9.245,-3.848
2,-6.115,-1.925
2,-6.98,-3.923
2,-5.707,1.971
2,-6.392,-3.224
2,-7.553,-2.859
2,-8.588,-10.0
2,-5.8,2.027
2,-4.813,4.094
2,-8.168,-5.15
2,-5.782,-0.276
2,-5.153,0.257
2,-5.679,-2.222
2,-6.211,-0.864
2,-5.206,-2.358
2,-6.852,-1.674
2,-6.487,-1.701
2,-5.257,-0.761
2,-4.792,0.097
2,-5.156,0.017
